Transaction Date,Type,Order,Card Brand,Card Source,Payout Status,Payout Date,Available On,Amount,Fee,Net,Checkout,Payment Method Name,Presentment Amount,Presentment Currency,Currency,VAT
2026-07-31 09:12:04 -0400,charge,#DEMO-1001,visa,online,paid,2026-08-03,2026-08-02,120.00,3.78,116.22,#900001,card,120.00,USD,USD,0.00
2026-07-31 14:40:51 -0400,charge,#DEMO-1002,master,online,paid,2026-08-03,2026-08-02,45.50,1.62,43.88,#900002,card,45.50,USD,USD,0.00
2026-08-01 08:03:19 -0400,charge,#DEMO-1003,visa,online,paid,2026-08-03,2026-08-03,89.99,2.91,87.08,#900003,card,89.99,USD,USD,0.00
2026-08-01 19:22:00 -0400,charge,#DEMO-1004,amex,online,paid,2026-08-03,2026-08-03,210.00,6.39,203.61,#900004,card,210.00,USD,USD,0.00
2026-08-06 10:15:33 -0400,charge,#DEMO-1005,visa,online,paid,2026-08-10,2026-08-08,64.00,2.16,61.84,#900005,card,64.00,USD,USD,0.00
2026-08-07 11:48:10 -0400,charge,#DEMO-1006,master,online,paid,2026-08-10,2026-08-09,150.00,4.65,145.35,#900006,card,150.00,USD,USD,0.00
2026-08-07 16:05:42 -0400,refund,#DEMO-1002,master,online,paid,2026-08-10,2026-08-09,-45.50,0.00,-45.50,#900002,card,-45.50,USD,USD,0.00
2026-08-08 09:30:00 -0400,charge,#DEMO-1007,visa,online,paid,2026-08-10,2026-08-10,32.00,1.23,30.77,#900007,card,32.00,USD,USD,0.00
2026-08-08 12:00:00 -0400,adjustment,,,,paid,2026-08-10,2026-08-10,-15.00,0.00,-15.00,,,,,USD,0.00
2026-08-13 10:10:10 +0200,charge,#DEMO-2001,visa,online,paid,2026-08-17,2026-08-15,80.00,2.02,77.98,#900101,card,80.00,EUR,EUR,0.40
2026-08-14 17:45:00 +0200,charge,#DEMO-2002,master,online,paid,2026-08-17,2026-08-16,125.00,3.10,121.90,#900102,card,125.00,EUR,EUR,0.62
2026-08-15 08:20:00 +0200,charge,#DEMO-2003,visa,online,paid,2026-08-17,2026-08-17,59.90,1.54,58.36,#900103,card,64.99,USD,EUR,0.31
2026-09-02 13:00:00 -0400,charge,#DEMO-1008,visa,online,pending,,2026-09-04,75.00,2.48,72.52,#900008,card,75.00,USD,USD,0.00
2026-09-03 09:41:00 -0400,charge,#DEMO-1009,master,online,pending,,2026-09-05,18.00,0.82,17.18,#900009,card,18.00,USD,USD,0.00
2026-09-03 15:12:00 -0400,refund,#DEMO-1005,visa,online,pending,,2026-09-05,-64.00,0.00,-64.00,#900005,card,-64.00,USD,USD,0.00
